flight,date,time
N503SV,2023-11-14,00:03:02
IBE6409,2023-11-14,00:06:03
JBU2120,2023-11-14,00:43:02
JBU98,2023-11-14,01:18:02
JBU778,2023-11-14,01:22:02
UAL1082,2023-11-14,01:27:02
AAL2453,2023-11-14,01:30:02
HAL90,2023-11-14,01:38:03
DAL313,2023-11-14,01:41:03
N154CA,2023-11-14,01:47:02
JBU1190,2023-11-14,01:49:02
DAL742,2023-11-14,01:49:02
DAL400,2023-11-14,01:51:02
DAL408,2023-11-14,02:06:02
DAL803,2023-11-14,02:06:02
AAL10,2023-11-14,02:06:02
JBU1302,2023-11-14,02:07:03
JBU648,2023-11-14,02:09:03
DAL1296,2023-11-14,02:12:03
UAL1666,2023-11-14,02:12:03
AAL2701,2023-11-14,02:13:02
UPS1038,2023-11-14,02:15:02
ASA550,2023-11-14,02:18:03
NKS726,2023-11-14,02:21:02
DAL399,2023-11-14,02:21:02
DAL349,2023-11-14,02:23:02
UPS1476,2023-11-14,02:26:02
JBU358,2023-11-14,02:26:02
DAL740,2023-11-14,02:27:03
AAL2156,2023-11-14,02:27:03
JBU988,2023-11-14,02:29:03
UPS1076,2023-11-14,02:30:02
UPS1126,2023-11-14,02:36:02
UPS1488,2023-11-14,02:37:02
N604JM,2023-11-14,02:41:02
NKS879,2023-11-14,02:44:03
DAL880,2023-11-14,02:44:03
DAL962,2023-11-14,02:47:02
DAL407,2023-11-14,02:52:02
NKS3737,2023-11-14,02:56:02
FRG1690,2023-11-14,02:57:03
DAL1445,2023-11-14,02:58:02
ASA374,2023-11-14,02:58:02
DAL719,2023-11-14,02:58:02
ASA38,2023-11-14,03:01:03
DAL669,2023-11-14,03:01:03
UAL564,2023-11-14,03:04:02
JBU2416,2023-11-14,03:13:02
THY182,2023-11-14,03:13:02
FDX1536,2023-11-14,03:15:02
UAL749,2023-11-14,03:24:02
UAL1761,2023-11-14,03:26:02
JBU162,2023-11-14,03:27:02
HAL50,2023-11-14,03:30:03
DAL459,2023-11-14,03:31:02
DAL893,2023-11-14,03:32:03
DAL875,2023-11-14,03:37:02
UAL1557,2023-11-14,03:40:03
UAL2424,2023-11-14,03:41:02
UAL2185,2023-11-14,03:42:03
POE318,2023-11-14,03:42:03
DAL571,2023-11-14,03:44:03
JBU34,2023-11-14,03:44:03
ASA498,2023-11-14,03:44:03
AAL28,2023-11-14,03:46:02
AAL276,2023-11-14,03:46:02
DAL816,2023-11-14,03:46:02
JBU2348,2023-11-14,03:46:02
NKS1168,2023-11-14,03:51:03
ACA1280,2023-11-14,03:52:02
ASA42,2023-11-14,03:53:03
UAL1204,2023-11-14,03:56:03
ACA746,2023-11-14,03:58:03
DAL488,2023-11-14,03:58:03
JBU354,2023-11-14,03:58:03
JIA5074,2023-11-14,04:00:03
AAL2663,2023-11-14,04:02:02
DAL2759,2023-11-14,04:07:03
NJM250,2023-11-14,04:07:03
N721RN,2023-11-14,04:10:02
FLE1676,2023-11-14,04:10:02
JUS827,2023-11-14,04:10:02
DAL524,2023-11-14,04:12:02
ACA794,2023-11-14,04:13:02
SWA2237,2023-11-14,04:13:02
EDV5040,2023-11-14,04:14:03
DAL640,2023-11-14,04:19:02
UAL2708,2023-11-14,04:30:02
FFT623,2023-11-14,04:34:02
N4272C,2023-11-14,04:36:02
N890D,2023-11-14,04:40:02
JBU1316,2023-11-14,04:42:03
UAL2012,2023-11-14,04:43:02
N620JH,2023-11-14,04:46:03
JBU2974,2023-11-14,04:47:02
UAL1831,2023-11-14,04:49:02
UAL270,2023-11-14,04:54:02
SNC1470,2023-11-14,04:54:02
DAL158,2023-11-14,04:56:03
DAL1319,2023-11-14,05:00:02
UAL1665,2023-11-14,05:02:03
IRO8393,2023-11-14,05:06:02
EJM133,2023-11-14,05:09:03
N86VP,2023-11-14,05:14:02
AAL1561,2023-11-14,05:15:02
N868KE,2023-11-14,05:16:02
FDY470,2023-11-14,05:17:03
PWA473,2023-11-14,05:17:03
DAL2872,2023-11-14,05:18:02
UAL661,2023-11-14,05:20:02
N492FT,2023-11-14,05:20:02
ENY3900,2023-11-14,05:21:02
DAL1720,2023-11-14,05:24:03
ACA7082,2023-11-14,05:24:03
N8BU,2023-11-14,05:26:03
DCM4241,2023-11-14,05:26:03
ANA102,2023-11-14,05:26:03
N989CE,2023-11-14,05:26:03
IRO8604,2023-11-14,05:27:02
EDV5407,2023-11-14,05:29:02
UAL2483,2023-11-14,05:30:03
DAL2801,2023-11-14,05:31:02
SWA1101,2023-11-14,05:31:02
AAL632,2023-11-14,05:33:02
DAL1746,2023-11-14,05:34:02
AWI6020,2023-11-14,05:35:02
IRO8430,2023-11-14,05:35:02
SKW4015,2023-11-14,05:35:02
N1219M,2023-11-14,05:37:02
UAL1306,2023-11-14,05:40:02
DAL1487,2023-11-14,05:40:02
UAL2429,2023-11-14,05:41:02
N335RE,2023-11-14,05:41:02
ETH574,2023-11-14,05:42:02
DAL1740,2023-11-14,05:42:02
UAL2218,2023-11-14,05:43:02
N28KR,2023-11-14,05:43:02
UAL565,2023-11-14,05:44:02
UAL2395,2023-11-14,05:46:02
LXJ572,2023-11-14,05:47:02
SKW3898,2023-11-14,05:48:02
UAL236,2023-11-14,05:48:02
DAL1117,2023-11-14,05:48:02
EDV4978,2023-11-14,05:48:02
N983CE,2023-11-14,05:49:02
MRA605,2023-11-14,05:49:02
DAL1094,2023-11-14,05:50:02
SKW4795,2023-11-14,05:51:02
SCX8661,2023-11-14,05:51:02
UAL1528,2023-11-14,05:52:02
NKS345,2023-11-14,05:52:02
DAL2703,2023-11-14,05:53:02
JBU2677,2023-11-14,05:53:02
FTH998,2023-11-14,05:53:02
JAS99,2023-11-14,05:53:02
UAL1964,2023-11-14,05:54:02
NTW891,2023-11-14,05:55:02
DAL1275,2023-11-14,05:56:02
KAL093,2023-11-14,05:56:02
DAL1482,2023-11-14,05:56:02
N350KH,2023-11-14,05:57:03
KAL073,2023-11-14,05:57:03
DAL2805,2023-11-14,05:57:03
AAL659,2023-11-14,05:58:02
UAL2225,2023-11-14,05:59:03
N961TE,2023-11-14,05:59:03
N997RS,2023-11-14,05:59:03
SKW4023,2023-11-14,06:00:02
UAL2099,2023-11-14,06:00:02
RPA3663,2023-11-14,06:02:02
SKW4120,2023-11-14,06:02:02
SWA2690,2023-11-14,06:02:02
JBU679,2023-11-14,06:04:02
SKW5697,2023-11-14,06:05:02
ETD93C,2023-11-14,06:06:03
SKW5353,2023-11-14,06:07:02
NKS947,2023-11-14,06:07:02
RPA3404,2023-11-14,06:08:03
FFT2931,2023-11-14,06:09:02
SKW5630,2023-11-14,06:10:03
N1907M,2023-11-14,06:10:03
UAL2714,2023-11-14,06:11:02
SCX8861,2023-11-14,06:11:02
SKW4115,2023-11-14,06:11:02
QTR17K,2023-11-14,06:16:02
SKW4714,2023-11-14,06:17:02
N1607L,2023-11-14,06:17:02
DAL2255,2023-11-14,06:17:02
DAL2692,2023-11-14,06:18:02
SKW4013,2023-11-14,06:19:03
RPA3615,2023-11-14,06:19:03
SWA3257,2023-11-14,06:20:02
SKW5473,2023-11-14,06:20:02
N420SK,2023-11-14,06:21:02
