flight,date,time
NKS501,2020-02-16,00:00:02
N729AD,2020-02-16,00:00:02
AAL221,2020-02-16,00:00:02
JBU136,2020-02-16,00:00:02
MSQT310,2020-02-16,00:00:02
JBU1158,2020-02-16,00:01:02
MSQT375,2020-02-16,00:04:02
AAL457,2020-02-16,00:09:03
JBU100,2020-02-16,00:12:02
MSQT632,2020-02-16,00:17:02
AAL640,2020-02-16,00:20:03
SKW2982,2020-02-16,00:21:02
AAL1602,2020-02-16,00:23:03
AAL1871,2020-02-16,00:27:03
JBU602,2020-02-16,00:28:02
ASA936,2020-02-16,00:28:02
DAL8954,2020-02-16,00:30:03
AAL2054,2020-02-16,00:32:03
UAL1741,2020-02-16,00:33:02
N407NA,2020-02-16,00:37:02
AAL2756,2020-02-16,00:38:02
ASA625,2020-02-16,00:39:03
SKW1395,2020-02-16,00:40:02
DAL2282,2020-02-16,00:40:02
JBU529,2020-02-16,00:41:02
FFT751,2020-02-16,00:41:02
N915TD,2020-02-16,00:46:03
FFT1150,2020-02-16,00:48:03
MSQT726,2020-02-16,00:50:03
AAL782,2020-02-16,00:50:03
EJM787,2020-02-16,00:51:02
N9299B,2020-02-16,00:53:02
DAL1305,2020-02-16,00:55:02
MSQT145,2020-02-16,01:01:03
SWQ2643,2020-02-16,01:02:02
ATN3844,2020-02-16,01:04:02
AMX090,2020-02-16,01:07:02
ATN3733,2020-02-16,01:08:02
NKS971,2020-02-16,01:11:02
AAL2548,2020-02-16,01:14:03
MSQT758,2020-02-16,01:17:03
SCX610,2020-02-16,01:23:02
AAL1542,2020-02-16,01:38:03
ASH6384,2020-02-16,01:50:02
UAL2181,2020-02-16,01:56:02
AAL1314,2020-02-16,02:03:02
AAL2254,2020-02-16,02:06:02
UAL2058,2020-02-16,02:07:03
AAY2695,2020-02-16,02:07:03
CMP253,2020-02-16,02:16:02
AAL599,2020-02-16,02:16:02
UAL505,2020-02-16,02:21:02
N400TC,2020-02-16,02:23:02
AAL230,2020-02-16,02:23:02
NKS972,2020-02-16,02:34:02
WJA2026,2020-02-16,02:35:02
AAL2797,2020-02-16,02:38:02
AAL340,2020-02-16,02:40:02
AMX697,2020-02-16,02:42:02
UAL2062,2020-02-16,02:45:02
GTI3038,2020-02-16,02:54:02
AAL6,2020-02-16,03:08:02
AAL2424,2020-02-16,03:12:02
FDX904,2020-02-16,03:17:02
N54DD,2020-02-16,03:21:03
AMX694,2020-02-16,03:23:03
UPS865,2020-02-16,03:41:02
N4282,2020-02-16,03:47:02
N98KS,2020-02-16,04:09:02
JBU530,2020-02-16,04:30:03
AAL102,2020-02-16,04:59:02
UAL252,2020-02-16,04:59:02
UPS859,2020-02-16,05:12:03
AAL116,2020-02-16,05:14:03
UAL1638,2020-02-16,05:38:02
GTI3071,2020-02-16,05:42:02
ATN3726,2020-02-16,05:53:02
FDX820,2020-02-16,06:01:03
UAL1774,2020-02-16,06:02:02
754,2020-02-16,06:04:02
N1079D,2020-02-16,06:05:03
SWA4958,2020-02-16,06:08:02
AAL9669,2020-02-16,06:10:02
ASA637,2020-02-16,06:10:02
AAL507,2020-02-16,06:11:03
UAL2064,2020-02-16,06:12:02
FFT1730,2020-02-16,06:13:02
AAY627,2020-02-16,06:13:02
SWA3804,2020-02-16,06:15:02
SWA4879,2020-02-16,06:16:02
UAL656,2020-02-16,06:21:02
SWA2301,2020-02-16,06:22:02
N1TC,2020-02-16,06:25:02
AAL698,2020-02-16,06:27:02
DAL819,2020-02-16,06:29:02
CPZ5754,2020-02-16,06:30:02
AAL2099,2020-02-16,06:31:02
ASA172,2020-02-16,06:31:02
SWA3235,2020-02-16,06:33:02
UAL1142,2020-02-16,06:38:03
SWA4737,2020-02-16,06:39:02
AAY609,2020-02-16,06:40:03
UAL1568,2020-02-16,06:42:03
AAL2076,2020-02-16,06:43:02
SWA5160,2020-02-16,06:44:02
JSX427,2020-02-16,06:49:02
ASH5743,2020-02-16,06:52:03
ASA959,2020-02-16,06:53:02
N4400S,2020-02-16,06:53:02
AAL2885,2020-02-16,06:55:02
AAY507,2020-02-16,06:55:02
DAL3124,2020-02-16,06:59:03
SWA3867,2020-02-16,07:00:02
SWA4556,2020-02-16,07:01:02
CPZ6078,2020-02-16,07:01:02
NKS2033,2020-02-16,07:02:02
N913LC,2020-02-16,07:02:02
SWA4111,2020-02-16,07:04:02
AAL638,2020-02-16,07:05:02
FDX462,2020-02-16,07:05:02
AAY581,2020-02-16,07:05:02
NKS867,2020-02-16,07:05:02
EJA705,2020-02-16,07:07:02
OXF461,2020-02-16,07:07:02
CFSFB,2020-02-16,07:08:03
N1228G,2020-02-16,07:09:02
AAL1861,2020-02-16,07:09:02
SKW3251,2020-02-16,07:09:02
FDX428,2020-02-16,07:10:03
AAY552,2020-02-16,07:11:03
AAL449,2020-02-16,07:12:02
SWA5464,2020-02-16,07:12:02
ASH5898,2020-02-16,07:12:02
NKS217,2020-02-16,07:13:03
AAL791,2020-02-16,07:13:03
N4402U,2020-02-16,07:13:03
N46007,2020-02-16,07:13:03
N81P,2020-02-16,07:13:03
SKW5963,2020-02-16,07:14:02
N753SC,2020-02-16,07:14:02
N9991G,2020-02-16,07:14:02
FFT2838,2020-02-16,07:15:03
SWA2359,2020-02-16,07:15:03
FDX841,2020-02-16,07:16:03
AAL361,2020-02-16,07:16:03
GTI3523,2020-02-16,07:20:03
N71TX,2020-02-16,07:21:02
SWA4672,2020-02-16,07:21:02
SWA3207,2020-02-16,07:22:03
FFT755,2020-02-16,07:23:02
FDX601,2020-02-16,07:25:02
N4403F,2020-02-16,07:26:02
DAL1001,2020-02-16,07:27:02
SWA3215,2020-02-16,07:27:02
DAL2520,2020-02-16,07:28:02
ASH5836,2020-02-16,07:29:02
AAL1614,2020-02-16,07:30:03
UAL920,2020-02-16,07:31:02
N835SC,2020-02-16,07:31:02
ASA926,2020-02-16,07:32:02
SWA5516,2020-02-16,07:33:02
N738EA,2020-02-16,07:34:02
AAY519,2020-02-16,07:34:02
SWA5317,2020-02-16,07:34:02
SJA525,2020-02-16,07:37:03
SWA1036,2020-02-16,07:37:03
AAY544,2020-02-16,07:37:03
N930YZ,2020-02-16,07:37:03
OXF324,2020-02-16,07:38:02
N9223E,2020-02-16,07:38:02
UAL1131,2020-02-16,07:39:03
JSX405,2020-02-16,07:41:02
LXJ538,2020-02-16,07:42:02
DAL869,2020-02-16,07:42:02
N455BD,2020-02-16,07:42:02
AAY596,2020-02-16,07:43:02
SWA4209,2020-02-16,07:44:02
N4401E,2020-02-16,07:45:02
AAY15,2020-02-16,07:48:03
N4403P,2020-02-16,07:48:03
N351CW,2020-02-16,07:49:02
SWA5029,2020-02-16,07:49:02
N4402T,2020-02-16,07:49:02
SWA2721,2020-02-16,07:51:02
N231EW,2020-02-16,07:52:02
N821ND,2020-02-16,07:53:02
SWA4317,2020-02-16,07:53:02
N8195U,2020-02-16,07:54:03
AAL1404,2020-02-16,07:54:03
FDX415,2020-02-16,07:54:03
CPZ6025,2020-02-16,07:55:02
N751PS,2020-02-16,07:56:03
N361TE,2020-02-16,07:56:03
OXF106,2020-02-16,07:57:02
FFT2415,2020-02-16,07:57:02
UAL2353,2020-02-16,07:57:02
SWA6545,2020-02-16,07:58:03
SWA2852,2020-02-16,07:58:03
ASA1219,2020-02-16,07:59:02
AAL1872,2020-02-16,08:00:03
SWA3309,2020-02-16,08:00:03
SWA2671,2020-02-16,08:01:02
AAL2811,2020-02-16,08:02:02
AAL1611,2020-02-16,08:02:02
WJA1499,2020-02-16,08:03:02
GAJ504,2020-02-16,08:03:02
N952SC,2020-02-16,08:04:02
SWA1981,2020-02-16,08:04:02
FDX815,2020-02-16,08:04:02
BTQ815,2020-02-16,08:04:02
N450CM,2020-02-16,08:05:02
SKW5609,2020-02-16,08:05:02
AAL567,2020-02-16,08:06:02
N631P,2020-02-16,08:06:02
SKW4168,2020-02-16,08:07:02
OXF483,2020-02-16,08:07:02
AAL2765,2020-02-16,08:08:03
AAL1651,2020-02-16,08:08:03
N28852,2020-02-16,08:08:03
N4139B,2020-02-16,08:09:02
SWA222,2020-02-16,08:10:03
AAL774,2020-02-16,08:10:03
SWA3838,2020-02-16,08:11:02
SKW5352,2020-02-16,08:11:02
SWA2743,2020-02-16,08:11:02
DAL747,2020-02-16,08:12:02
AAL2105,2020-02-16,08:13:02
AAY568,2020-02-16,08:14:03
SWA3374,2020-02-16,08:14:03
AAL407,2020-02-16,08:15:02
FDX821,2020-02-16,08:15:02
AAL2425,2020-02-16,08:15:02
AAL2012,2020-02-16,08:15:02
N550LG,2020-02-16,08:16:02
MSQT33,2020-02-16,08:16:02
SWA2839,2020-02-16,08:16:02
AAL1065,2020-02-16,08:17:02
N4400Q,2020-02-16,08:17:02
HAL35,2020-02-16,08:18:02
DAL1592,2020-02-16,08:18:02
FFT552,2020-02-16,08:19:02
N200VA,2020-02-16,08:19:02
N441AD,2020-02-16,08:20:02
CPZ6018,2020-02-16,08:21:02
AAL314,2020-02-16,08:21:02
AAL2535,2020-02-16,08:21:02
SWA3440,2020-02-16,08:22:02
SWA4399,2020-02-16,08:22:02
AAL868,2020-02-16,08:22:02
SWA2875,2020-02-16,08:22:02
AAL1887,2020-02-16,08:23:02
EJM825,2020-02-16,08:23:02
SWA4191,2020-02-16,08:23:02
FDX430,2020-02-16,08:23:02
SWA3134,2020-02-16,08:24:03
N730K,2020-02-16,08:24:03
N4174B,2020-02-16,08:24:03
AAL1808,2020-02-16,08:24:03
QXE2801,2020-02-16,08:25:02
N747LP,2020-02-16,08:25:02
SWA2338,2020-02-16,08:26:02
SWA2542,2020-02-16,08:26:02
SWA3343,2020-02-16,08:26:02
AAL1867,2020-02-16,08:26:02
N125DT,2020-02-16,08:28:02
SKW2973,2020-02-16,08:30:02
EJA784,2020-02-16,08:30:02
N30608,2020-02-16,08:30:02
SWA5204,2020-02-16,08:30:02
N8922P,2020-02-16,08:31:02
AAL1765,2020-02-16,08:31:02
N47601,2020-02-16,08:31:02
N7821R,2020-02-16,08:32:02
ASH5960,2020-02-16,08:32:02
N1107G,2020-02-16,08:33:02
AAL1880,2020-02-16,08:33:02
N523GW,2020-02-16,08:34:02
SWA4140,2020-02-16,08:34:02
AAL1055,2020-02-16,08:35:03
N854SC,2020-02-16,08:36:02
AAL2874,2020-02-16,08:36:02
N5275S,2020-02-16,08:36:02
N325AP,2020-02-16,08:37:03
SWA3931,2020-02-16,08:37:03
ASH5741,2020-02-16,08:38:02
MSQT215,2020-02-16,08:38:02
WJA2169,2020-02-16,08:38:02
N839JS,2020-02-16,08:39:03
N457MS,2020-02-16,08:40:02
MSQT30,2020-02-16,08:40:02
N21329,2020-02-16,08:40:02
SKW2974,2020-02-16,08:40:02
SWA2410,2020-02-16,08:41:02
FFT1867,2020-02-16,08:42:02
N722HG,2020-02-16,08:42:02
AAL710,2020-02-16,08:43:03
NKS598,2020-02-16,08:43:03
DAL2323,2020-02-16,08:43:03
SWA4616,2020-02-16,08:44:02
AAL486,2020-02-16,08:45:03
SWA4698,2020-02-16,08:45:03
ASH5802,2020-02-16,08:46:02
ASA1993,2020-02-16,08:46:02
DAL617,2020-02-16,08:47:03
OXF143,2020-02-16,08:47:03
N28614,2020-02-16,08:48:02
NKS858,2020-02-16,08:48:02
AAL445,2020-02-16,08:48:02
SKW3817,2020-02-16,08:48:02
ASH5889,2020-02-16,08:48:02
N66AA,2020-02-16,08:49:03
N9482M,2020-02-16,08:49:03
AAL1958,2020-02-16,08:50:02
SWA3111,2020-02-16,08:50:02
N329HS,2020-02-16,08:52:02
AAL442,2020-02-16,08:52:02
ASH5735,2020-02-16,08:52:02
AAY2404,2020-02-16,08:52:02
AAY65,2020-02-16,08:52:02
AAL452,2020-02-16,08:53:02
AAL711,2020-02-16,08:53:02
SKW3142,2020-02-16,08:54:03
N1715T,2020-02-16,08:55:02
JBU2801,2020-02-16,08:55:02
SKW3132,2020-02-16,08:55:02
UAL658,2020-02-16,08:56:03
AAL438,2020-02-16,08:56:03
SWA2375,2020-02-16,08:56:03
N4404F,2020-02-16,08:57:02
BTQ812,2020-02-16,08:59:02
UAL751,2020-02-16,09:01:02
OXF1460,2020-02-16,09:01:02
NKS504,2020-02-16,09:01:02
N144DP,2020-02-16,09:02:02
N172EW,2020-02-16,09:02:02
FFT2155,2020-02-16,09:02:02
AAL464,2020-02-16,09:03:03
SWA4071,2020-02-16,09:04:02
DAL2628,2020-02-16,09:05:03
N414WM,2020-02-16,09:05:03
N407BB,2020-02-16,09:06:02
AAL572,2020-02-16,09:06:02
SWA5126,2020-02-16,09:06:02
N117KP,2020-02-16,09:09:03
AAL1795,2020-02-16,09:09:03
UAL316,2020-02-16,09:10:02
N651AC,2020-02-16,09:12:02
N1754T,2020-02-16,09:12:02
AAL1952,2020-02-16,09:13:02
N8771C,2020-02-16,09:13:02
SWA5242,2020-02-16,09:13:02
N70112,2020-02-16,09:14:02
N4147T,2020-02-16,09:15:02
SWA4838,2020-02-16,09:16:03
UAL237,2020-02-16,09:16:03
SWA2420,2020-02-16,09:16:03
AAL2176,2020-02-16,09:16:03
N32779,2020-02-16,09:16:03
AAL986,2020-02-16,09:17:02
N818DU,2020-02-16,09:17:02
ATN3729,2020-02-16,09:18:03
AAL2026,2020-02-16,09:18:03
SWA5494,2020-02-16,09:20:03
AAL1633,2020-02-16,09:20:03
OXF1910,2020-02-16,09:20:03
AAL725,2020-02-16,09:21:03
SKW3175,2020-02-16,09:22:02
FFT1427,2020-02-16,09:22:02
N969WR,2020-02-16,09:23:03
N24JC,2020-02-16,09:23:03
AAL539,2020-02-16,09:23:03
N877AC,2020-02-16,09:24:02
N28251,2020-02-16,09:24:02
AAL208,2020-02-16,09:24:02
SKW3196,2020-02-16,09:25:03
N365AV,2020-02-16,09:25:03
AAL739,2020-02-16,09:26:02
AAL1040,2020-02-16,09:26:02
N128TS,2020-02-16,09:27:03
FDX457,2020-02-16,09:27:03
CFC2596,2020-02-16,09:28:02
N739RV,2020-02-16,09:28:02
ASA615,2020-02-16,09:30:02
AAL2260,2020-02-16,09:30:02
ASA301,2020-02-16,09:30:02
AAL1672,2020-02-16,09:30:02
UAL680,2020-02-16,09:30:02
DAL1236,2020-02-16,09:31:02
N43451,2020-02-16,09:32:02
N1097N,2020-02-16,09:32:02
N563LC,2020-02-16,09:33:02
AAL499,2020-02-16,09:33:02
N507GA,2020-02-16,09:33:02
N625LS,2020-02-16,09:34:02
N488JM,2020-02-16,09:36:02
OXF1640,2020-02-16,09:36:02
AAL343,2020-02-16,09:37:02
ASH5847,2020-02-16,09:37:02
ASH5805,2020-02-16,09:37:02
AAL1634,2020-02-16,09:38:02
SWA5463,2020-02-16,09:38:02
SWA5264,2020-02-16,09:39:02
AAL2402,2020-02-16,09:40:02
SKW5612,2020-02-16,09:40:02
N3AS,2020-02-16,09:41:02
SWA4051,2020-02-16,09:41:02
ASH5758,2020-02-16,09:41:02
N6962V,2020-02-16,09:41:02
DAL937,2020-02-16,09:41:02
N6148X,2020-02-16,09:42:02
N894KC,2020-02-16,09:44:03
ASA760,2020-02-16,09:44:03
AAL1064,2020-02-16,09:45:02
SWA4136,2020-02-16,09:46:02
N64898,2020-02-16,09:46:02
DAL1534,2020-02-16,09:47:02
N3468N,2020-02-16,09:47:02
N562SA,2020-02-16,09:47:02
DAL1108,2020-02-16,09:47:02
UAL2094,2020-02-16,09:47:02
ASH5744,2020-02-16,09:47:02
GTI3507,2020-02-16,09:48:03
DAL284,2020-02-16,09:48:03
AAL1983,2020-02-16,09:48:03
AAL1569,2020-02-16,09:49:02
AAL2015,2020-02-16,09:49:02
SWA2909,2020-02-16,09:49:02
AAL25,2020-02-16,09:50:03
AAL2413,2020-02-16,09:50:03
EJA301,2020-02-16,09:50:03
SWA3045,2020-02-16,09:51:02
SWA4358,2020-02-16,09:52:02
ACA1056,2020-02-16,09:53:02
SWA3981,2020-02-16,09:53:02
SKW3019,2020-02-16,09:53:02
DAL1692,2020-02-16,09:53:02
AAL1700,2020-02-16,09:54:02
SCX603,2020-02-16,09:54:02
N5162L,2020-02-16,09:54:02
AAL1472,2020-02-16,09:55:03
SWA4037,2020-02-16,09:55:03
436BJ,2020-02-16,09:55:03
AAL2109,2020-02-16,09:55:03
N64CF,2020-02-16,09:56:02
AAL482,2020-02-16,09:56:02
AAL1678,2020-02-16,09:57:02
ASH5886,2020-02-16,09:57:02
N981TL,2020-02-16,09:57:02
AAL447,2020-02-16,09:58:02
N7261Y,2020-02-16,09:58:02
WSW768,2020-02-16,09:58:02
AAL2107,2020-02-16,09:58:02
AAL372,2020-02-16,09:59:02
