flight,date,time
CLX48Y,2023-08-07,00:01:02
QTR8140,2023-08-07,00:04:03
AAL2701,2023-08-07,00:10:02
JBU72,2023-08-07,00:10:02
AAL10,2023-08-07,00:23:02
JBU916,2023-08-07,00:39:02
DAL861,2023-08-07,00:39:02
FTH95,2023-08-07,00:42:02
UAL1083,2023-08-07,00:47:02
BOX413,2023-08-07,00:49:02
DAL439,2023-08-07,00:50:03
UAL2644,2023-08-07,00:51:02
NKS2323,2023-08-07,00:57:02
DAL1639,2023-08-07,01:07:02
DAL542,2023-08-07,01:16:02
N173NY,2023-08-07,01:16:02
ACA126,2023-08-07,01:21:02
DAL399,2023-08-07,01:23:02
NKS879,2023-08-07,01:27:02
DAL460,2023-08-07,01:28:02
HAL90,2023-08-07,01:31:02
ACA746,2023-08-07,01:34:02
JBU1574,2023-08-07,01:34:02
ASA298,2023-08-07,01:39:02
DAL962,2023-08-07,01:41:03
DAL955,2023-08-07,01:41:03
AAL2713,2023-08-07,01:42:02
DAL400,2023-08-07,01:45:03
ACA794,2023-08-07,01:52:03
ASA482,2023-08-07,01:53:02
UAL1652,2023-08-07,01:57:02
AAL276,2023-08-07,01:58:03
ACA540,2023-08-07,01:59:02
WJA1103,2023-08-07,02:04:03
AAL1280,2023-08-07,02:04:03
DAL475,2023-08-07,02:04:03
ASA478,2023-08-07,02:05:02
UAL141,2023-08-07,02:06:02
DAL847,2023-08-07,02:07:03
JBU594,2023-08-07,02:08:02
THY181,2023-08-07,02:10:02
HAL50,2023-08-07,02:13:02
ACA1094,2023-08-07,02:14:02
WJA724,2023-08-07,02:16:02
AAL2361,2023-08-07,02:17:03
DAL1296,2023-08-07,02:17:03
ASA417,2023-08-07,02:23:03
N1904W,2023-08-07,02:24:02
JBU670,2023-08-07,02:28:02
DAL349,2023-08-07,02:33:02
DAL386,2023-08-07,02:35:02
UAL2424,2023-08-07,02:36:02
DAL788,2023-08-07,02:38:02
JBU66,2023-08-07,02:40:02
UAL2492,2023-08-07,02:40:02
WJA1119,2023-08-07,02:42:03
UAL1046,2023-08-07,02:44:03
ASA36,2023-08-07,02:46:02
DAL441,2023-08-07,02:50:02
ASA496,2023-08-07,02:53:02
DAL767,2023-08-07,02:54:02
ACA156,2023-08-07,02:57:03
UAL2056,2023-08-07,02:58:02
FLE600,2023-08-07,02:59:03
UAL477K,2023-08-07,03:00:02
JBU1268,2023-08-07,03:01:02
DAL999,2023-08-07,03:05:02
UAL1665,2023-08-07,03:12:02
JBU264,2023-08-07,03:12:02
AAL2453,2023-08-07,03:13:03
ACA1018,2023-08-07,03:14:02
ROU1902,2023-08-07,03:17:02
UAL1943,2023-08-07,03:20:02
ASA498,2023-08-07,03:20:02
ASA26,2023-08-07,03:20:02
SWA1939,2023-08-07,03:25:03
JBU162,2023-08-07,03:25:03
SKW5353,2023-08-07,03:29:03
WJA646,2023-08-07,03:30:02
DAL2283,2023-08-07,03:34:02
EJA701,2023-08-07,03:40:03
N495EC,2023-08-07,03:41:02
N892D,2023-08-07,03:42:02
AAL2745,2023-08-07,03:43:02
DAL922,2023-08-07,03:45:02
OPT461,2023-08-07,03:46:02
UAL2630,2023-08-07,03:46:02
JBU1006,2023-08-07,03:46:02
CLX42A,2023-08-07,03:47:02
DAL806,2023-08-07,03:50:02
FDY470,2023-08-07,03:53:03
JUS835,2023-08-07,03:53:03
ENY3416,2023-08-07,03:54:02
DAL383,2023-08-07,03:54:02
UAL1376,2023-08-07,03:56:02
UAL1831,2023-08-07,03:59:02
N268BB,2023-08-07,04:03:02
EJA581,2023-08-07,04:03:02
N900AL,2023-08-07,04:05:02
DAL321,2023-08-07,04:06:03
6245,2023-08-07,04:07:02
ASA42,2023-08-07,04:07:02
DAL2592,2023-08-07,04:08:03
SWA420,2023-08-07,04:09:02
AAY549,2023-08-07,04:13:02
JBU123,2023-08-07,04:19:03
DAL2913,2023-08-07,04:21:02
AAL2265,2023-08-07,04:22:02
JBU1316,2023-08-07,04:23:02
AWI6225,2023-08-07,04:25:02
UAL1888,2023-08-07,04:25:02
N1WP,2023-08-07,04:27:02
N8126L,2023-08-07,04:27:02
UAL1071,2023-08-07,04:28:02
SWA1957,2023-08-07,04:28:02
DAL2801,2023-08-07,04:28:02
SKW4962,2023-08-07,04:30:02
N432CC,2023-08-07,04:30:02
NKS345,2023-08-07,04:30:02
DAL1520,2023-08-07,04:30:02
N519LM,2023-08-07,04:31:02
RAX715,2023-08-07,04:31:02
RJA265,2023-08-07,04:31:02
AAL2903,2023-08-07,04:32:02
N804CV,2023-08-07,04:32:02
SKW3717,2023-08-07,04:32:02
JBU80,2023-08-07,04:33:02
N488GB,2023-08-07,04:33:02
JBU988,2023-08-07,04:33:02
ASA471,2023-08-07,04:34:03
UAL2617,2023-08-07,04:34:03
ROU1704,2023-08-07,04:34:03
SKW3965,2023-08-07,04:35:02
UAL1651,2023-08-07,04:35:02
UAL1835,2023-08-07,04:36:02
AAL660,2023-08-07,04:37:03
POE318,2023-08-07,04:37:03
N1955M,2023-08-07,04:38:02
N2535E,2023-08-07,04:39:03
UAL373,2023-08-07,04:40:02
ENY3867,2023-08-07,04:40:02
DAL1746,2023-08-07,04:40:02
UAL2225,2023-08-07,04:41:02
DAL2985,2023-08-07,04:43:02
N724GP,2023-08-07,04:45:02
DAL2805,2023-08-07,04:47:02
SKW3946,2023-08-07,04:48:03
SKW5990,2023-08-07,04:51:02
UAL1308,2023-08-07,04:51:02
UAL1799,2023-08-07,04:51:02
UAL2429,2023-08-07,04:52:03
N71CH,2023-08-07,04:52:03
UAL2661,2023-08-07,04:54:03
SIS89,2023-08-07,04:54:03
DAL524,2023-08-07,04:55:02
DCM3195,2023-08-07,04:55:02
UAL2142,2023-08-07,04:56:02
DAL2255,2023-08-07,04:56:02
JIA5260,2023-08-07,04:57:03
AAL1561,2023-08-07,04:57:03
AAL2260,2023-08-07,04:59:03
ASA315,2023-08-07,04:59:03
UAL2137,2023-08-07,04:59:03
UAL2483,2023-08-07,05:01:03
UAL1719,2023-08-07,05:02:02
ENY3710,2023-08-07,05:02:02
JBU15,2023-08-07,05:03:03
SKW5264,2023-08-07,05:05:03
JBU2348,2023-08-07,05:05:03
ETH574,2023-08-07,05:06:03
AAY536,2023-08-07,05:06:03
N775E,2023-08-07,05:07:02
ASA553,2023-08-07,05:07:02
UAL731,2023-08-07,05:07:02
UAL567,2023-08-07,05:08:03
N732WB,2023-08-07,05:08:03
DAL2037,2023-08-07,05:08:03
AAL2999,2023-08-07,05:10:03
UAL2367,2023-08-07,05:11:02
SKW4110,2023-08-07,05:11:02
SKW4074,2023-08-07,05:12:02
SKW5371,2023-08-07,05:12:02
UAL277,2023-08-07,05:12:02
UAL1977,2023-08-07,05:14:02
N615GS,2023-08-07,05:15:02
GJS4392,2023-08-07,05:15:02
JBU972,2023-08-07,05:16:02
DAL1810,2023-08-07,05:16:02
NJM750,2023-08-07,05:16:02
UAL2213,2023-08-07,05:17:03
DAL1210,2023-08-07,05:18:02
UAL659,2023-08-07,05:18:02
DAL479,2023-08-07,05:19:03
AWI6195,2023-08-07,05:20:02
QTR99V,2023-08-07,05:21:02
UAL1558,2023-08-07,05:23:02
GJS4467,2023-08-07,05:23:02
SKW3017,2023-08-07,05:24:02
N4772Q,2023-08-07,05:24:02
N957BJ,2023-08-07,05:24:02
SKW4001,2023-08-07,05:24:02
EJA795,2023-08-07,05:25:02
N501RP,2023-08-07,05:25:02
SWA937,2023-08-07,05:25:02
DAL354,2023-08-07,05:26:03
DAL2143,2023-08-07,05:27:02
SKW4707,2023-08-07,05:28:03
ETD93C,2023-08-07,05:28:03
JBU2363,2023-08-07,05:28:03
FFT2931,2023-08-07,05:30:03
00000000,2023-08-07,05:31:02
SCX567,2023-08-07,05:31:02
ASA351,2023-08-07,05:31:02
JBU723,2023-08-07,05:34:02
SKW5630,2023-08-07,05:34:02
RPA5621,2023-08-07,05:35:02
N507HP,2023-08-07,05:35:02
SCX251,2023-08-07,05:36:02
N683K,2023-08-07,05:36:02
AAL76,2023-08-07,05:36:02
DAL1176,2023-08-07,05:37:02
ASA33,2023-08-07,05:38:02
KAP728,2023-08-07,05:38:02
UAL389,2023-08-07,05:39:03
N886WF,2023-08-07,05:39:03
N32HF,2023-08-07,05:40:02
SKW3975,2023-08-07,05:40:02
AAL2455,2023-08-07,05:41:02
N345LL,2023-08-07,05:42:02
AWI6158,2023-08-07,05:42:02
SKW4704,2023-08-07,05:43:03
JRE751,2023-08-07,05:44:02
AAL1627,2023-08-07,05:49:02
UAL1754,2023-08-07,05:49:02
UAE55U,2023-08-07,05:50:02
SKW4062,2023-08-07,05:50:02
ASA551,2023-08-07,05:50:02
UAL423,2023-08-07,05:51:02
UAL1436,2023-08-07,05:52:02
N926RC,2023-08-07,05:52:02
SKW3751,2023-08-07,05:53:02
CST7,2023-08-07,05:54:02
SKW4126,2023-08-07,05:54:02
JZA958,2023-08-07,05:54:02
N848SR,2023-08-07,05:55:02
DAL2525,2023-08-07,05:55:02
DAL578,2023-08-07,05:55:02
EDV5011,2023-08-07,05:55:02
UAL1537,2023-08-07,05:57:02
DAL1402,2023-08-07,05:57:02
DAL698,2023-08-07,05:57:02
N728MH,2023-08-07,05:57:02
AAL2816,2023-08-07,05:58:02
ASA547,2023-08-07,05:59:02
ENY3732,2023-08-07,06:00:03
JBU411,2023-08-07,06:00:03
JBU2229,2023-08-07,06:01:02
DAL361,2023-08-07,06:01:02
UAL1803,2023-08-07,06:01:02
LXJ541,2023-08-07,06:02:03
NKS985,2023-08-07,06:02:03
RPA4474,2023-08-07,06:03:02
JRE792,2023-08-07,06:03:02
AAL3,2023-08-07,06:03:02
N30NB,2023-08-07,06:03:02
DAL707,2023-08-07,06:04:03
N77DB,2023-08-07,06:04:03
DAL2826,2023-08-07,06:05:02
AAL360,2023-08-07,06:05:02
SKW5442,2023-08-07,06:06:03
ASA491,2023-08-07,06:06:03
UAL1247,2023-08-07,06:06:03
N363GC,2023-08-07,06:06:03
DAL375,2023-08-07,06:07:02
DAL487,2023-08-07,06:08:03
DAL1188,2023-08-07,06:08:03
ASA483,2023-08-07,06:09:02
RPA4511,2023-08-07,06:09:02
PDT5953,2023-08-07,06:10:03
SCX233,2023-08-07,06:10:03
SKW5574,2023-08-07,06:11:02
JBU1105,2023-08-07,06:12:03
NKS3346,2023-08-07,06:13:02
AAL1251,2023-08-07,06:13:02
DAL519,2023-08-07,06:14:03
N984CE,2023-08-07,06:14:03
AAY557,2023-08-07,06:15:02
DAL2309,2023-08-07,06:16:02
DAL720,2023-08-07,06:16:02
AAL1509,2023-08-07,06:17:02
SKW3706,2023-08-07,06:18:02
ENY3429,2023-08-07,06:19:02
N447SF,2023-08-07,06:20:02
AAL1487,2023-08-07,06:20:02
DAL509,2023-08-07,06:21:02
ACA1093,2023-08-07,06:21:02
SJJ945,2023-08-07,06:23:02
UAL2684,2023-08-07,06:23:02
N424PX,2023-08-07,06:24:02
EDV5208,2023-08-07,06:24:02
ASA1,2023-08-07,06:24:02
N55VW,2023-08-07,06:25:02
UAL621,2023-08-07,06:25:02
SCX193,2023-08-07,06:25:02
UAL2292,2023-08-07,06:26:02
CYO662,2023-08-07,06:26:02
UAL2200,2023-08-07,06:27:02
N221DE,2023-08-07,06:29:02
SCX1775,2023-08-07,06:29:02
DAL1208,2023-08-07,06:29:02
UAL2372,2023-08-07,06:29:02
UAL647,2023-08-07,06:31:02
UAL2364,2023-08-07,06:31:02
UAL364,2023-08-07,06:31:02
KAP729,2023-08-07,06:31:02
DAL527,2023-08-07,06:32:02
AAL2805,2023-08-07,06:33:02
N5355S,2023-08-07,06:34:02
N46221,2023-08-07,06:35:02
ASA299,2023-08-07,06:35:02
LXJ443,2023-08-07,06:35:02
N219CQ,2023-08-07,06:36:02
KAL093,2023-08-07,06:36:02
UAL1022,2023-08-07,06:36:02
N317U,2023-08-07,06:36:02
EDV5144,2023-08-07,06:37:02
DAL2706,2023-08-07,06:37:02
LJY40,2023-08-07,06:37:02
DAL1597,2023-08-07,06:37:02
ACA1031,2023-08-07,06:38:02
N550JD,2023-08-07,06:38:02
SKW3778,2023-08-07,06:38:02
DAL158,2023-08-07,06:39:02
MVJ44,2023-08-07,06:42:02
DAL508,2023-08-07,06:42:02
ENY3854,2023-08-07,06:43:02
TWY928,2023-08-07,06:44:02
JBU67,2023-08-07,06:44:02
N831LX,2023-08-07,06:45:02
JIA5221,2023-08-07,06:45:02
N30TJ,2023-08-07,06:45:02
RPA3467,2023-08-07,06:45:02
N35JM,2023-08-07,06:46:03
AAL1457,2023-08-07,06:46:03
TWY345,2023-08-07,06:47:02
AWI6289,2023-08-07,06:47:02
DAL2056,2023-08-07,06:48:03
GJS4405,2023-08-07,06:48:03
LXJ377,2023-08-07,06:49:02
UAL2323,2023-08-07,06:49:02
JAL6,2023-08-07,06:50:03
N520SC,2023-08-07,06:50:03
UAL490,2023-08-07,06:51:03
UAL2109,2023-08-07,06:51:03
N928NG,2023-08-07,06:51:03
DAL390,2023-08-07,06:51:03
DAL2593,2023-08-07,06:52:02
DAL482,2023-08-07,06:52:02
ANA102,2023-08-07,06:53:03
UAL1964,2023-08-07,06:56:03
UAL1883,2023-08-07,06:56:03
SWA1942,2023-08-07,06:57:02
N372BG,2023-08-07,06:57:02
SKW4736,2023-08-07,06:58:03
AAL90,2023-08-07,06:59:02
N484WW,2023-08-07,07:00:03
RPA5669,2023-08-07,07:01:03
EJA545,2023-08-07,07:02:02
UAL1757,2023-08-07,07:02:02
RPA5640,2023-08-07,07:02:02
DAL1275,2023-08-07,07:03:03
DAL1485,2023-08-07,07:03:03
BLU53,2023-08-07,07:03:03
SCX1053,2023-08-07,07:05:03
SDU1348,2023-08-07,07:08:02
C6569,2023-08-07,07:08:02
UAL399,2023-08-07,07:08:02
JBU193,2023-08-07,07:08:02
JBU1773,2023-08-07,07:08:02
N923HC,2023-08-07,07:09:02
DAL2882,2023-08-07,07:10:02
AWI6257,2023-08-07,07:11:03
THY67C,2023-08-07,07:11:03
NKS3738,2023-08-07,07:13:02
ACA1039,2023-08-07,07:13:02
DAL1015,2023-08-07,07:14:02
SCX1907,2023-08-07,07:14:02
N882CA,2023-08-07,07:14:02
EJA642,2023-08-07,07:15:02
DAL1745,2023-08-07,07:15:02
EDV5217,2023-08-07,07:15:02
N91596,2023-08-07,07:18:02
PAT730,2023-08-07,07:21:02
DAL1290,2023-08-07,07:21:02
N420BD,2023-08-07,07:22:02
EJA918,2023-08-07,07:22:02
N577PS,2023-08-07,07:23:02
AAL2819,2023-08-07,07:24:02
DAL1671,2023-08-07,07:28:02
RPA5712,2023-08-07,07:28:02
UAL1125,2023-08-07,07:30:02
LXJ98,2023-08-07,07:30:02
UAL1793,2023-08-07,07:35:02
AAL1502,2023-08-07,07:36:02
N256DV,2023-08-07,07:36:02
DAL948,2023-08-07,07:37:02
ROU1701,2023-08-07,07:38:02
ASA373,2023-08-07,07:39:02
SKW3943,2023-08-07,07:39:02
PDT5890,2023-08-07,07:40:02
UAL623,2023-08-07,07:42:02
N75NL,2023-08-07,07:42:02
SKW4944,2023-08-07,07:43:02
JKR36,2023-08-07,07:44:03
AAL416,2023-08-07,07:45:02
NKS1342,2023-08-07,07:48:02
N421SC,2023-08-07,07:50:02
DAL303,2023-08-07,07:50:02
UAL945,2023-08-07,07:51:02
UAL1470,2023-08-07,07:53:02
EJA781,2023-08-07,07:54:02
SWA3015,2023-08-07,07:54:02
UAL311,2023-08-07,07:54:02
ACA1043,2023-08-07,07:57:03
JBU680,2023-08-07,07:57:03
UAL493,2023-08-07,07:57:03
ACA761,2023-08-07,07:58:02
ROU1721,2023-08-07,08:00:03
DAL776,2023-08-07,08:02:02
CJT3243,2023-08-07,08:04:02
UAL2645,2023-08-07,08:06:02
N960MM,2023-08-07,08:08:02
N50S,2023-08-07,08:08:02
ACA775,2023-08-07,08:09:03
HRT516,2023-08-07,08:09:03
ASA39,2023-08-07,08:13:03
EJA921,2023-08-07,08:18:02
EDG300,2023-08-07,08:19:02
XSR346,2023-08-07,08:20:03
SKW5611,2023-08-07,08:22:02
UAL2388,2023-08-07,08:26:02
THY2RD,2023-08-07,08:26:02
PDT5889,2023-08-07,08:28:02
AAL51,2023-08-07,08:28:02
NKT100,2023-08-07,08:30:02
JBU115,2023-08-07,08:30:02
DAL2619,2023-08-07,08:30:02
ETH575,2023-08-07,08:31:02
AAL209,2023-08-07,08:31:02
N625BG,2023-08-07,08:33:02
UAL2624,2023-08-07,08:33:02
UAL1878,2023-08-07,08:35:02
N220BG,2023-08-07,08:36:02
ENY9630,2023-08-07,08:37:02
JBU1833,2023-08-07,08:40:02
DAL1644,2023-08-07,08:41:02
LXJ558,2023-08-07,08:42:03
ACA1038,2023-08-07,08:42:03
DAL312,2023-08-07,08:42:03
N724AM,2023-08-07,08:42:03
N81GK,2023-08-07,08:43:02
EDV5200,2023-08-07,08:43:02
XOJ726,2023-08-07,08:45:02
UAL677,2023-08-07,08:45:02
JBU311,2023-08-07,08:45:02
EJA436,2023-08-07,08:48:02
N516CC,2023-08-07,08:48:02
N360KN,2023-08-07,08:49:03
UAL289,2023-08-07,08:50:02
AAL99,2023-08-07,08:52:03
N22AV,2023-08-07,08:52:03
DAL497,2023-08-07,08:53:02
UAL662,2023-08-07,08:55:02
SKW5490,2023-08-07,08:55:02
N335TA,2023-08-07,08:57:03
AAL221,2023-08-07,08:59:02
SKW110N,2023-08-07,09:00:02
NKS440,2023-08-07,09:00:02
JRE867,2023-08-07,09:01:02
DAL2914,2023-08-07,09:02:02
RNI036,2023-08-07,09:02:02
WJA1100,2023-08-07,09:03:02
N71KR,2023-08-07,09:04:02
AAL2133,2023-08-07,09:05:02
N500EC,2023-08-07,09:05:02
UAL408,2023-08-07,09:07:02
RPA3529,2023-08-07,09:09:02
AAL408,2023-08-07,09:10:03
SKW5856,2023-08-07,09:14:03
GAJ509,2023-08-07,09:14:03
UAL1511,2023-08-07,09:14:03
SWA1218,2023-08-07,09:14:03
DAL2701,2023-08-07,09:14:03
JBU871,2023-08-07,09:15:02
UAL2164,2023-08-07,09:17:03
N808PD,2023-08-07,09:17:03
EJA453,2023-08-07,09:17:03
N255FP,2023-08-07,09:18:02
UAL1632,2023-08-07,09:19:03
N511JS,2023-08-07,09:19:03
N9714G,2023-08-07,09:19:03
FFT622,2023-08-07,09:20:02
SWA3666,2023-08-07,09:21:03
JBU387,2023-08-07,09:23:03
AAL2717,2023-08-07,09:29:02
UAL1796,2023-08-07,09:31:02
GAJ837,2023-08-07,09:31:02
AAL2003,2023-08-07,09:32:02
SKW5684,2023-08-07,09:33:02
RAX220,2023-08-07,09:33:02
DAL403,2023-08-07,09:33:02
DAL2436,2023-08-07,09:36:02
SAS945,2023-08-07,09:36:02
UAL1249,2023-08-07,09:37:02
DAL869,2023-08-07,09:40:03
DAL685,2023-08-07,09:41:02
DAL1750,2023-08-07,09:41:02
N520AW,2023-08-07,09:43:02
RJA266,2023-08-07,09:45:02
UAL2320,2023-08-07,09:47:02
FTH81,2023-08-07,09:47:02
EJM618,2023-08-07,09:51:02
JBU1515,2023-08-07,09:51:02
DAL991,2023-08-07,09:52:03
N93PJ,2023-08-07,09:52:03
AWI6255,2023-08-07,09:53:02
NTW53,2023-08-07,09:54:02
DAL498,2023-08-07,09:54:02
N775ST,2023-08-07,09:55:02
AAL973,2023-08-07,09:58:03
ACA736,2023-08-07,09:59:02
SWR6A,2023-08-07,10:00:03
DLH436,2023-08-07,10:01:02
AAL234,2023-08-07,10:02:03
UAL2654,2023-08-07,10:03:02
N474X,2023-08-07,10:05:02
UAL1701,2023-08-07,10:06:02
UAL1230,2023-08-07,10:13:02
UAL971,2023-08-07,10:17:02
SCX194,2023-08-07,10:17:02
UAL1027,2023-08-07,10:18:03
NKS810,2023-08-07,10:19:02
SCX1776,2023-08-07,10:21:03
N1019T,2023-08-07,10:28:02
ENY3317,2023-08-07,10:29:02
UAL21,2023-08-07,10:30:02
UAL1282,2023-08-07,10:31:03
N440LN,2023-08-07,10:32:02
ATN3444,2023-08-07,10:32:02
AUA65,2023-08-07,10:34:02
UAL879,2023-08-07,10:35:02
N263BA,2023-08-07,10:35:02
N420SK,2023-08-07,10:35:02
EDG335,2023-08-07,10:38:02
THY84U,2023-08-07,10:38:02
N608TB,2023-08-07,10:39:02
SUBPE,2023-08-07,10:39:02
N81CP,2023-08-07,10:39:02
LXJ368,2023-08-07,10:40:02
UAL973,2023-08-07,10:40:02
DAL2685,2023-08-07,10:41:03
N598DR,2023-08-07,10:48:03
UAL1732,2023-08-07,10:49:02
