flight,date,time
AWI6166,2024-08-18,00:00:03
ICE856,2024-08-18,00:00:03
N855A,2024-08-18,00:00:03
NKS329,2024-08-18,00:00:03
UAL5,2024-08-18,00:00:03
WJA1102,2024-08-18,00:00:03
N512GV,2024-08-18,00:00:03
UAL980,2024-08-18,00:00:03
GTI3628,2024-08-18,00:00:03
UAL1893,2024-08-18,00:00:03
AMX026,2024-08-18,00:03:03
BAW6AC,2024-08-18,00:06:02
FDX5103,2024-08-18,00:09:02
UAL213,2024-08-18,00:10:02
GEC8185,2024-08-18,00:12:02
FDX27,2024-08-18,00:15:02
BOX446,2024-08-18,00:21:03
UAL2424,2024-08-18,00:24:02
AFR6736,2024-08-18,00:24:02
DAL2945,2024-08-18,00:30:02
FDX97,2024-08-18,00:36:03
POE654,2024-08-18,00:43:03
UAL1308,2024-08-18,00:47:02
FDX5035,2024-08-18,00:48:02
N387LS,2024-08-18,00:49:02
ACA795,2024-08-18,00:52:03
AAL98,2024-08-18,00:57:02
ACA1041,2024-08-18,01:02:02
AMX008,2024-08-18,01:03:02
UAL920,2024-08-18,01:06:02
AAL208,2024-08-18,01:23:02
N721RN,2024-08-18,01:24:03
SCX8766,2024-08-18,01:32:02
DAL2255,2024-08-18,01:34:02
FDX3,2024-08-18,01:39:02
DLH433,2024-08-18,01:45:03
ROU1737,2024-08-18,01:46:03
ASL507,2024-08-18,01:46:03
ICV62N,2024-08-18,01:55:02
KFS21,2024-08-18,02:08:02
ACA744,2024-08-18,02:14:02
UAL494,2024-08-18,02:15:02
FDX1,2024-08-18,02:17:02
FDX5225,2024-08-18,02:25:02
FDX9005,2024-08-18,02:52:02
QTR8102,2024-08-18,02:59:02
JBU2416,2024-08-18,03:15:02
JBU248,2024-08-18,03:20:03
JBU972,2024-08-18,03:24:02
WJA910,2024-08-18,03:26:03
JBU2120,2024-08-18,03:30:03
ASA319,2024-08-18,03:36:02
JBU1114,2024-08-18,03:41:03
JBU916,2024-08-18,03:47:03
ACA792,2024-08-18,03:52:03
DAL507,2024-08-18,03:56:02
UAL2610,2024-08-18,03:59:02
N502RP,2024-08-18,04:02:07
UAL1871,2024-08-18,04:11:02
N234KH,2024-08-18,04:20:02
NKS2376,2024-08-18,04:21:03
DAL407,2024-08-18,04:25:02
JBU96,2024-08-18,04:28:02
CPA844,2024-08-18,04:30:02
BOX447,2024-08-18,04:32:02
DAL696,2024-08-18,04:32:02
N300BZ,2024-08-18,04:33:02
DAL524,2024-08-18,04:39:03
NKS1907,2024-08-18,04:41:02
STY90,2024-08-18,04:43:02
DAL335,2024-08-18,04:45:02
JBU372,2024-08-18,04:56:03
UAL1802,2024-08-18,05:03:03
AAL871R,2024-08-18,05:08:02
EJA141,2024-08-18,05:08:02
UAL1761,2024-08-18,05:10:02
DAL969,2024-08-18,05:11:02
KAL8284,2024-08-18,05:11:02
